Node,Depth,Value,Alpha,Beta
root,0,-Infinity,-Infinity,Infinity
A1,1,Infinity,-Infinity,Infinity
B1,2,-Infinity,-Infinity,Infinity
E1,3,49,-Infinity,Infinity
B1,2,49,49,Infinity
A2,3,39,49,Infinity
B1,2,49,49,Infinity
B2,3,63,49,Infinity
B1,2,63,63,Infinity
A3,3,47,63,Infinity
B1,2,63,63,Infinity
B3,3,67,63,Infinity
B1,2,67,67,Infinity
C3,3,50,67,Infinity
B1,2,67,67,Infinity
E3,3,22,67,Infinity
B1,2,67,67,Infinity
A4,3,39,67,Infinity
B1,2,67,67,Infinity
B4,3,31,67,Infinity
B1,2,67,67,Infinity
E4,3,21,67,Infinity
B1,2,67,67,Infinity
A5,3,44,67,Infinity
B1,2,67,67,Infinity
B5,3,49,67,Infinity
B1,2,67,67,Infinity
C5,3,42,67,Infinity
B1,2,67,67,Infinity
D5,3,40,67,Infinity
B1,2,67,67,Infinity
E5,3,29,67,Infinity
B1,2,67,67,Infinity
A1,1,67,-Infinity,67
E1,2,-Infinity,-Infinity,67
B1,3,21,-Infinity,67
E1,2,21,21,67
A2,3,25,21,67
E1,2,25,25,67
B2,3,17,25,67
E1,2,25,25,67
A3,3,33,25,67
E1,2,33,33,67
B3,3,53,33,67
E1,2,53,53,67
C3,3,36,53,67
E1,2,53,53,67
E3,3,8,53,67
E1,2,53,53,67
A4,3,25,53,67
E1,2,53,53,67
B4,3,17,53,67
E1,2,53,53,67
E4,3,7,53,67
E1,2,53,53,67
A5,3,30,53,67
E1,2,53,53,67
B5,3,35,53,67
E1,2,53,53,67
C5,3,28,53,67
E1,2,53,53,67
D5,3,26,53,67
E1,2,53,53,67
E5,3,15,53,67
E1,2,53,53,67
A1,1,53,-Infinity,53
A2,2,-Infinity,-Infinity,53
B1,3,31,-Infinity,53
A2,2,31,31,53
E1,3,45,31,53
A2,2,45,45,53
B2,3,67,45,53
A2,2,67,45,53
A1,1,53,-Infinity,53
B2,2,-Infinity,-Infinity,53
B1,3,63,-Infinity,53
B2,2,63,-Infinity,53
A1,1,53,-Infinity,53
A3,2,-Infinity,-Infinity,53
B1,3,23,-Infinity,53
A3,2,23,23,53
E1,3,37,23,53
A3,2,37,37,53
A2,3,83,37,53
A3,2,83,37,53
A1,1,53,-Infinity,53
B3,2,-Infinity,-Infinity,53
B1,3,3,-Infinity,53
B3,2,3,3,53
E1,3,17,3,53
B3,2,17,17,53
A2,3,7,17,53
B3,2,17,17,53
B2,3,95,17,53
B3,2,95,17,53
A1,1,53,-Infinity,53
C3,2,-Infinity,-Infinity,53
B1,3,38,-Infinity,53
C3,2,38,38,53
E1,3,52,38,53
C3,2,52,52,53
A2,3,42,52,53
C3,2,52,52,53
B2,3,34,52,53
C3,2,52,52,53
A3,3,50,52,53
C3,2,52,52,53
B3,3,70,52,53
C3,2,70,52,53
A1,1,53,-Infinity,53
E3,2,-Infinity,-Infinity,53
B1,3,34,-Infinity,53
E3,2,34,34,53
E1,3,64,34,53
E3,2,64,34,53
A1,1,53,-Infinity,53
A4,2,-Infinity,-Infinity,53
B1,3,31,-Infinity,53
A4,2,31,31,53
E1,3,45,31,53
A4,2,45,45,53
A2,3,35,45,53
A4,2,45,45,53
B2,3,27,45,53
A4,2,45,45,53
A3,3,43,45,53
A4,2,45,45,53
B3,3,63,45,53
A4,2,63,45,53
A1,1,53,-Infinity,53
B4,2,-Infinity,-Infinity,53
B1,3,39,-Infinity,53
B4,2,39,39,53
E1,3,53,39,53
B4,2,53,39,53
A1,1,53,-Infinity,53
E4,2,-Infinity,-Infinity,53
B1,3,49,-Infinity,53
E4,2,49,49,53
E1,3,63,49,53
E4,2,63,49,53
A1,1,53,-Infinity,53
A5,2,-Infinity,-Infinity,53
B1,3,26,-Infinity,53
A5,2,26,26,53
E1,3,40,26,53
A5,2,40,40,53
A2,3,30,40,53
A5,2,40,40,53
B2,3,22,40,53
A5,2,40,40,53
A3,3,38,40,53
A5,2,40,40,53
B3,3,58,40,53
A5,2,58,40,53
A1,1,53,-Infinity,53
B5,2,-Infinity,-Infinity,53
B1,3,21,-Infinity,53
B5,2,21,21,53
E1,3,35,21,53
B5,2,35,35,53
A2,3,25,35,53
B5,2,35,35,53
B2,3,17,35,53
B5,2,35,35,53
A3,3,33,35,53
B5,2,35,35,53
B3,3,53,35,53
B5,2,53,35,53
A1,1,53,-Infinity,53
C5,2,-Infinity,-Infinity,53
B1,3,28,-Infinity,53
C5,2,28,28,53
E1,3,42,28,53
C5,2,42,42,53
A2,3,32,42,53
C5,2,42,42,53
B2,3,24,42,53
C5,2,42,42,53
A3,3,40,42,53
C5,2,42,42,53
B3,3,60,42,53
C5,2,60,42,53
A1,1,53,-Infinity,53
D5,2,-Infinity,-Infinity,53
B1,3,30,-Infinity,53
D5,2,30,30,53
E1,3,44,30,53
D5,2,44,44,53
A2,3,34,44,53
D5,2,44,44,53
B2,3,26,44,53
D5,2,44,44,53
A3,3,42,44,53
D5,2,44,44,53
B3,3,62,44,53
D5,2,62,44,53
A1,1,53,-Infinity,53
E5,2,-Infinity,-Infinity,53
B1,3,41,-Infinity,53
E5,2,41,41,53
E1,3,55,41,53
E5,2,55,41,53
A1,1,53,-Infinity,53
root,0,53,53,Infinity
B1,1,Infinity,53,Infinity
A1,2,-Infinity,53,Infinity
E1,3,41,53,Infinity
A1,2,41,53,Infinity
A2,3,31,53,Infinity
A1,2,41,53,Infinity
B2,3,23,53,Infinity
A1,2,41,53,Infinity
A3,3,39,53,Infinity
A1,2,41,53,Infinity
B3,3,59,53,Infinity
A1,2,59,59,Infinity
C3,3,42,59,Infinity
A1,2,59,59,Infinity
E3,3,14,59,Infinity
A1,2,59,59,Infinity
A4,3,31,59,Infinity
A1,2,59,59,Infinity
B4,3,23,59,Infinity
A1,2,59,59,Infinity
E4,3,13,59,Infinity
A1,2,59,59,Infinity
A5,3,36,59,Infinity
A1,2,59,59,Infinity
B5,3,41,59,Infinity
A1,2,59,59,Infinity
C5,3,34,59,Infinity
A1,2,59,59,Infinity
D5,3,32,59,Infinity
A1,2,59,59,Infinity
E5,3,21,59,Infinity
A1,2,59,59,Infinity
B1,1,59,53,59
E1,2,-Infinity,53,59
A1,3,21,53,59
E1,2,21,53,59
A2,3,21,53,59
E1,2,21,53,59
B2,3,13,53,59
E1,2,21,53,59
A3,3,29,53,59
E1,2,29,53,59
B3,3,49,53,59
E1,2,49,53,59
C3,3,32,53,59
E1,2,49,53,59
E3,3,4,53,59
E1,2,49,53,59
A4,3,21,53,59
E1,2,49,53,59
B4,3,13,53,59
E1,2,49,53,59
E4,3,3,53,59
E1,2,49,53,59
